Player,Team,Position,Age,draft_year,draft_team,draft_round,round_pick,overall_pick
Caleb Jones,CHI,D,27,2015,EDM,4,26,117
Calen Addison,MIN,D,24,2018,PIT,2,22,53
Calle Jarnkrok,"CGY, SEA",C,32,2010,DET,2,21,51
Calle Rosen,STL,D,30,-,-,-,-,-
Calvin de Haan,CHI,D,33,2009,NYI,1,12,12
Cam Atkinson,PHI,R,35,2008,CBJ,6,6,157
Cam Dineen,ARI,D,25,2016,ARI,3,7,68
Cam Fowler,ANA,D,32,2010,ANA,1,12,12
Cam York,PHI,D,23,2019,PHI,1,14,14
Cameron Hillis,MTL,C,23,2018,MTL,3,4,66
Carl Dahlstrom,TOR,D,29,2013,CHI,2,21,51
Carl Grundstrom,L.A,R,26,2016,TOR,2,27,57
Carl Hagelin,WSH,L,35,2007,NYR,6,17,168
Carson Meyer,CBJ,R,26,-,-,-,-,-
Carson Soucy,SEA,D,29,2013,MIN,5,16,137
Carter Rowney,DET,C,35,-,-,-,-,-
Carter Verhaeghe,FLA,C,28,2013,TOR,3,21,82
Casey Cizikas,NYI,C,33,2009,NYI,4,1,92
Casey Fitzgerald,BUF,D,27,2016,BUF,3,25,86
Casey Mittelstadt,BUF,C,25,2017,BUF,1,8,8
Cedric Paquette,MTL,C,30,2012,T.B,4,10,101
Chad Ruhwedel,PIT,D,34,-,-,-,-,-
Chandler Stephenson,VGK,C,30,2012,WSH,3,16,77
Charlie Coyle,BOS,C,32,2010,S.J,1,28,28
Charlie McAvoy,BOS,D,26,2016,BOS,1,14,14
Chase De Leo,N.J,C,28,2014,WPG,4,9,99
Chase Pearson,DET,C,26,2015,DET,5,19,140
Chase Priskie,FLA,D,28,2016,WSH,6,26,177
Chris Kreider,NYR,L,33,2009,NYR,1,19,19
Chris Tanev,CGY,D,34,-,-,-,-,-
Chris Tierney,OTT,C,29,2012,S.J,2,25,55
Chris Wagner,BOS,R,33,2010,ANA,5,2,122
Chris Wideman,MTL,D,34,2009,OTT,4,9,100
Christian Dvorak,MTL,L,28,2014,ARI,2,28,58
Christian Fischer,ARI,R,27,2015,ARI,2,2,32
Christian Jaros,N.J,D,28,2015,OTT,5,18,139
Christian Wolanin,"BUF, L.A",D,29,2015,OTT,4,16,107
CJ Suess,WPG,L,30,2014,WPG,5,9,129
Clark Bishop,OTT,C,28,2014,CAR,5,7,127
Claude Giroux,"FLA, PHI","C, R",36,2006,PHI,1,22,22
Clayton Keller,ARI,"C, R",25,2016,ARI,1,7,7
