Player,Team,Position,Age,draft_year,draft_team,draft_round,round_pick,overall_pick
Trey Fix-Wolansky,CBJ,R,25,2018,CBJ,7,18,204
Troy Stecher,"DET, L.A",D,30,-,-,-,-,-
Troy Terry,ANA,"C, R",26,2015,ANA,5,27,148
Tucker Poolman,VAN,D,31,2013,WPG,5,6,127
Turner Elson,DET,C,31,-,-,-,-,-
Ty Dellandrea,DAL,C,23,2018,DAL,1,13,13
Ty Smith,N.J,D,24,2018,N.J,1,17,17
Tyce Thompson,N.J,R,24,2019,N.J,4,3,96
Tyler Benson,EDM,L,26,2016,EDM,2,2,32
Tyler Bertuzzi,DET,L,29,2013,DET,2,28,58
Tyler Bozak,STL,C,38,-,-,-,-,-
Tyler Ennis,OTT,"C, R",34,2008,BUF,1,26,26
Tyler Johnson,CHI,C,33,-,-,-,-,-
Tyler Lewington,BOS,D,29,2013,WSH,7,23,204
Tyler Motte,"NYR, VAN",C,29,2013,CHI,4,30,121
Tyler Myers,VAN,D,34,2008,BUF,1,12,12
Tyler Pitlick,"CGY, MTL",C,32,2010,EDM,2,1,31
Tyler Seguin,DAL,C,32,2010,BOS,1,2,2
Tyler Toffoli,"CGY, MTL","C, R",32,2010,L.A,2,17,47
Tyson Barrie,EDM,D,32,2009,COL,3,3,64
Tyson Jost,"COL, MIN",C,26,2016,COL,1,10,10
Urho Vaakanainen,"ANA, BOS",D,25,2017,BOS,1,18,18
Valeri Nichushkin,COL,R,29,2013,DAL,1,10,10
Valtteri Puustinen,PIT,R,25,2019,PIT,7,17,203
Vasily Podkolzin,VAN,R,22,2019,VAN,1,10,10
Victor Hedman,T.B,D,33,2009,T.B,1,2,2
Victor Mete,OTT,D,26,2016,MTL,4,9,100
Victor Olofsson,BUF,L,28,2014,BUF,7,1,181
Victor Rask,"MIN, SEA",C,31,2011,CAR,2,12,42
Victor Soderstrom,ARI,D,23,2019,ARI,1,11,11
Viktor Arvidsson,L.A,L,31,2014,NSH,4,22,112
Viktor Lodin,OTT,C,25,2019,OTT,4,1,94
Ville Heinola,WPG,D,23,2019,WPG,1,20,20
Vince Dunn,SEA,D,27,2015,STL,2,26,56
Vincent Trocheck,CAR,C,30,2011,FLA,3,3,64
Vinni Lettieri,ANA,C,29,-,-,-,-,-
Vinnie Hinostroza,BUF,C,30,2012,CHI,6,18,169
Vladimir Tarasenko,STL,R,32,2010,STL,1,16,16
Vladimir Tkachev,L.A,L,28,-,-,-,-,-
Vladislav Gavrikov,CBJ,D,28,2015,CBJ,6,8,159
Vladislav Kolyachonok,ARI,D,23,2019,FLA,2,21,52
Vladislav Namestnikov,"DAL, DET",C,31,2011,T.B,1,27,27
Wade Allison,PHI,R,26,2016,PHI,2,22,52
Walker Duehr,CGY,R,26,-,-,-,-,-
Warren Foegele,EDM,L,28,2014,CAR,3,7,67
Wayne Simmonds,TOR,R,35,2007,L.A,2,31,61
Will Borgen,SEA,D,27,2015,BUF,4,1,92
Will Butcher,BUF,D,29,2013,COL,5,2,123
William Carrier,VGK,L,29,2013,STL,2,27,57
William Eklund,S.J,"C, L",21,2021,S.J,1,7,7
William Karlsson,VGK,C,31,2011,ANA,2,23,53
William Lagesson,"EDM, MTL",D,28,2014,EDM,4,1,91
William Lockwood,VAN,R,25,2016,VAN,3,3,64
William Nylander,TOR,"C, R",28,2014,TOR,1,8,8
Wyatt Kalynuk,CHI,D,27,2017,PHI,7,10,196
Yakov Trenin,NSH,C,27,2015,NSH,2,25,55
Yanni Gourde,SEA,C,32,-,-,-,-,-
Yegor Chinakhov,CBJ,R,23,2020,CBJ,1,21,21
Yegor Sharangovich,N.J,C,26,2018,N.J,5,17,141
Zac Dalpe,FLA,C,34,2008,CAR,2,15,45
Zac Jones,NYR,D,23,2019,NYR,3,6,68
Zach Aston-Reese,"ANA, PIT","C, L",29,-,-,-,-,-
Zach Bogosian,T.B,D,33,2008,ATL,1,3,3
Zach Hyman,EDM,"C, L",32,2010,FLA,5,3,123
Zach Parise,NYI,L,39,2003,N.J,1,17,17
Zach Sanford,"OTT, WPG",L,29,2013,WSH,2,31,61
Zach Senyshyn,OTT,R,27,2015,BOS,1,15,15
Zach Werenski,CBJ,D,26,2015,CBJ,1,8,8
Zach Whitecloud,VGK,D,27,-,-,-,-,-
Zachary Hayes,VGK,D,25,-,-,-,-,-
Zack Kassian,EDM,R,33,2009,BUF,1,13,13
Zack MacEwen,PHI,C,27,-,-,-,-,-
Zdeno Chara,NYI,D,47,1996,NYI,3,4,56
Zemgus Girgensons,BUF,L,30,2012,BUF,1,14,14
