"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"401","Mathew Barzal","NYI","C","80","1610.6","23","57","38","19","80","71.43","240","9.58","22.45","413","320","197","81","16","36","34","17","17","0","0","27","90","84","48","50","52","49","65","42.98"
"561","Jason Robertson","DAL","L","82","1502.6333333333","29","51","23","28","80","68.38","231","12.55","23.47","477","334","227","82","14","42","22","11","11","0","0","16","45","60","72","106","31","0","0","-"
"131","Zach Hyman","EDM","L","80","1560.0333333333","54","23","11","12","77","49.04","290","18.62","50.44","489","404","377","255","12","56","48","24","24","0","0","21","19","35","74","148","37","7","9","43.75"
"157","Vincent Trocheck","NYR","C","82","1759.2833333333","25","52","37","15","77","52.74","216","11.57","33.6","446","363","305","138","6","44","55","26","25","1","0","23","36","50","145","121","86","881","619","58.73"
"261","Jake Guentzel","CAR, PIT","C, L","67","1330.7333333333","30","47","33","14","77","68.14","236","12.71","38.18","436","337","317","159","7","65","22","11","11","0","0","24","25","33","43","90","28","6","17","26.09"
"557","Nick Suzuki","MTL","C","82","1743.65","33","44","25","19","77","69.37","186","17.74","22.5","324","266","199","84","13","22","36","16","16","0","0","22","63","41","58","109","48","689","622","52.56"
"78","Victor Hedman","T.B","D","78","1934.7333333333","13","63","32","31","76","50.33","168","7.74","12.44","403","268","133","20","6","34","76","26","23","0","3","9","54","29","56","65","102","0","0","-"
"468","Clayton Keller","ARI","R","78","1501.1666666667","33","43","27","16","76","80.85","228","14.47","23.05","430","331","207","59","11","37","32","16","16","0","0","28","47","43","18","100","30","30","35","46.15"
"67","Gustav Nyquist","NSH","C","81","1437.1333333333","23","52","34","18","75","70.09","154","14.94","20.72","270","212","143","73","12","28","8","4","4","0","0","12","40","37","28","80","38","15","24","38.46"
"83","Nazem Kadri","CGY","C","82","1510.9166666667","29","46","28","18","75","71.43","277","10.47","32.15","524","391","278","122","17","49","43","19","18","1","0","43","70","56","49","126","24","592","618","48.93"
"87","Chris Kreider","NYR","L","82","1540.25","39","36","23","13","75","56.39","246","15.85","39.02","440","371","301","204","20","39","26","13","13","0","0","11","29","23","82","37","20","35","61","36.46"
"335","Adrian Kempe","L.A","R","77","1457.9166666667","28","47","25","22","75","74.26","246","11.38","22.95","499","352","212","64","10","39","72","30","29","0","1","35","24","31","104","68","32","3","10","23.08"
"512","Brandon Hagel","T.B","L","82","1578.9833333333","26","49","38","11","75","70.75","184","14.13","27.29","344","260","228","98","13","30","79","30","27","1","2","33","39","54","46","149","45","25","36","40.98"
"621","Brady Tkachuk","OTT","L","81","1550.5166666667","37","37","28","9","74","70.48","357","10.36","44.52","574","485","350","167","19","80","134","38","27","6","5","45","49","48","277","91","34","200","180","52.63"
"716","Jack Hughes","N.J","C","62","1300.35","27","47","29","18","74","75.51","274","9.85","27.27","521","361","252","70","12","55","12","6","6","0","0","27","71","64","9","56","24","118","199","37.22"
"323","Kevin Fiala","L.A","L","82","1478.9166666667","29","44","21","23","73","73.00","225","12.89","24.71","467","343","232","77","8","39","62","26","25","0","1","18","57","45","59","89","28","10","28","26.32"
"400","Brock Boeser","VAN","R","81","1506.7833333333","40","33","22","11","73","56.59","204","19.61","32.71","402","294","256","122","9","35","14","7","7","0","0","5","21","28","50","37","29","13","12","52.00"
