game_id,season,gameType,awayTeam.id,awayTeam.abbrev,homeTeam.id,homeTeam.abbrev,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
2024020573,20242025,2,1,NJD,12,CAR,Carolina,New Jersey,2,5,8482809,8474682,OFF,https://api-web.nhle.com/v1/gamecenter/2024020573/play-by-play,2024-12-29 00:00:00+00:00,12:00 am,2024-12-29
2024020574,20242025,2,9,OTT,52,WPG,Winnipeg,Ottawa,2,4,8480014,8476945,OFF,https://api-web.nhle.com/v1/gamecenter/2024020574/play-by-play,2024-12-29 00:00:00+00:00,12:00 am,2024-12-29
2024020575,20242025,2,5,PIT,2,NYI,New York,Pittsburgh,3,6,8475231,8478009,OFF,https://api-web.nhle.com/v1/gamecenter/2024020575/play-by-play,2024-12-29 00:30:00+00:00,12:30 am,2024-12-29
2024020576,20242025,2,20,CGY,28,SJS,San Jose,Calgary,3,1,8474150,8481692,OFF,https://api-web.nhle.com/v1/gamecenter/2024020576/play-by-play,2024-12-29 03:00:00+00:00,3:00 am,2024-12-29
2024020577,20242025,2,25,DAL,16,CHI,Chicago,Dallas,5,1,8480027,8479979,OFF,https://api-web.nhle.com/v1/gamecenter/2024020577/play-by-play,2024-12-30 01:30:00+00:00,1:30 am,2024-12-30
2024020578,20242025,2,22,EDM,24,ANA,Anaheim,Edmonton,3,5,8476458,8480843,OFF,https://api-web.nhle.com/v1/gamecenter/2024020578/play-by-play,2024-12-29 21:00:00+00:00,9:00 pm,2024-12-29
2024020579,20242025,2,15,WSH,17,DET,Detroit,Washington,2,4,8479337,8479312,OFF,https://api-web.nhle.com/v1/gamecenter/2024020579/play-by-play,2024-12-29 22:00:00+00:00,10:00 pm,2024-12-29
2024020580,20242025,2,8,MTL,14,TBL,Tampa Bay,Montréal,5,2,8478133,8478470,OFF,https://api-web.nhle.com/v1/gamecenter/2024020580/play-by-play,2024-12-29 22:00:00+00:00,10:00 pm,2024-12-29
2024020581,20242025,2,2,NYI,5,PIT,Pittsburgh,New York,2,3,8471215,8477968,OFF,https://api-web.nhle.com/v1/gamecenter/2024020581/play-by-play,2024-12-29 22:30:00+00:00,10:30 pm,2024-12-29
2024020582,20242025,2,7,BUF,19,STL,St. Louis,Buffalo,4,2,8475722,8480045,OFF,https://api-web.nhle.com/v1/gamecenter/2024020582/play-by-play,2024-12-29 20:00:00+00:00,8:00 pm,2024-12-29
2024020583,20242025,2,9,OTT,30,MIN,Minnesota,Ottawa,3,1,8480064,8482447,OFF,https://api-web.nhle.com/v1/gamecenter/2024020583/play-by-play,2024-12-30 01:00:00+00:00,1:00 am,2024-12-30
2024020584,20242025,2,20,CGY,54,VGK,Vegas,Calgary,0,3,8479353,8478492,OFF,https://api-web.nhle.com/v1/gamecenter/2024020584/play-by-play,2024-12-30 01:00:00+00:00,1:00 am,2024-12-30
2024020585,20242025,2,4,PHI,26,LAK,Los Angeles,Philadelphia,4,5,8471685,8479496,OFF,https://api-web.nhle.com/v1/gamecenter/2024020585/play-by-play,2024-12-30 02:00:00+00:00,2:00 am,2024-12-30
2024020586,20242025,2,3,NYR,13,FLA,Florida,New York,3,5,8480003,8475683,OFF,https://api-web.nhle.com/v1/gamecenter/2024020586/play-by-play,2024-12-31 00:00:00+00:00,12:00 am,2024-12-31
2024020587,20242025,2,18,NSH,52,WPG,Winnipeg,Nashville,0,3,8476331,8476945,OFF,https://api-web.nhle.com/v1/gamecenter/2024020587/play-by-play,2024-12-31 00:30:00+00:00,12:30 am,2024-12-31
2024020588,20242025,2,59,UTA,55,SEA,Seattle,Utah,2,5,8475768,8475831,OFF,https://api-web.nhle.com/v1/gamecenter/2024020588/play-by-play,2024-12-31 01:00:00+00:00,1:00 am,2024-12-31
2024020589,20242025,2,6,BOS,15,WSH,Washington,Boston,1,3,8479345,8480313,OFF,https://api-web.nhle.com/v1/gamecenter/2024020589/play-by-play,2024-12-31 17:30:00+00:00,5:30 pm,2024-12-31
2024020590,20242025,2,2,NYI,10,TOR,Toronto,New York,1,3,8478904,8479361,OFF,https://api-web.nhle.com/v1/gamecenter/2024020590/play-by-play,2024-12-31 18:00:00+00:00,6:00 pm,2024-12-31
